id,article_title,article_language,journal_title,journal_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
34517,identification of a novel missense (c7w) mutation of sod1 in a large familial amyotrophic lateral sclerosis pedigree.,eng,neurobiology of aging,neurobiol. aging,1558-1497,35,3,3/1/14,725.e11-5,"{""zhongsheng sun"",""huajing teng"",""tao cai"",""xusheng huang"",""ping yu"",""fang cui"",""zhaohui chen"",""fengbiao mao"",""wanshi cai"",""zhanjun wang"",""lin chen"",""jiesi wang""}"
34962,assessing social isolation in motor neurone disease: a rasch analysis of the mnd social withdrawal scale.,eng,journal of the neurological sciences,j. neurol. sci.,1878-5883,334,1,11/15/13,112-8,"{""everard w thornton"",""carolyn a young"",""alan tennant"",""john ealing"",""kevin talbot"",""[collective name] ukmnd-qol group"",""chris j gibbons"",""pamela j shaw""}"
35875,18f-flumazenil: a �_-aminobutyric acid a-specific pet radiotracer for the localization of drug-resistant temporal lobe epilepsy.,eng,"journal of nuclear medicine : official publication, society of nuclear medicine",j. nucl. med.,1535-5667,54,8,8/1/13,1270-7,"{""david binns"",""robert e ware"",""damian e myers"",""marie-claude gregoire"",""eddie w lau"",""lucy vivash"",""terence j o'brien"",""viviane bouilleret"",""mark j cook"",""rodney j hicks"",""peter roselt""}"
36253,[limited experience in adrenocortical function tests in infants].,jpn,horumon to rinsho. clinical endocrinology,horumon to rinsho,0045-7167,16,4,4/1/68,273-6,"{""y hirose"",""s kurata"",""y abe""}"
36429,[neurological dysfunction induced by bilirrubin].,spa,"neurologia (barcelona, spain)",neurologia,1578-1968,27,4,5/1/12,202-11,"{""v cus�_"",""h galvez"",""m iriondo"",""j campistol"",""i m��laga"",""a garc�_a cazorla""}"
37173,how to appraise the effectiveness of treatment,_nan_,nepal medical college journal : nmcj,nepal med coll j,1535-7414,27,0,1/1/11,525-531 st  - how to appraise the effectiveness of treatment-,"{""suzanne b. stewart"",""phillip dahm"",""d db  - rzh do  - 10.4103/0970-1591.91446 dp  - ebscohost""}"
38130,value of intravenous cholangiography prior to laparoscopic cholecystectomy,eng,int j gynaecol obstet,international journal of gynaecology and obstetrics: the official organ of the international federation of gynaecology and obstetrics,0020-7292,23,0,1/1/99,693-6, discussion 697 st  - value of intravenous cholangiography prior to laparoscopic cholecystectomy-
38197,[studies on cefotaxime (hr 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)],jpn,aktuelle traumatologie,j huazhong univ sci technolog med sci,0160-6379,34,0,1/1/81,447-52 st  - [studies on cefotaxime (hr 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)]-,"{""i. hashimoto"",""s. hirasawa"",""y. sawada"",""y. kasai"",""j. mikami"",""h. abe"",""m. nakanishi"",""e. bekki"",""k. kasai"",""t. nakamura"",""m. da  - mar dp  - nlm et  - 1981/03/01 omosu""}"
38413,proximal migration of a 5 french pancreatic stent during bile stone extraction: a successful retrieval using mini-snare,eng,value in health,am j infect control,0196-6553,17,0,1/1/14,384-6 st  - proximal migration of a 5 french pancreatic stent during bile stone extraction: a successful retrieval using mini-snare-,"{""j. da  - may-jun do  - 10.4103/1119-3077.130253 dp  - nlm et  - 2014/04/10 wu"",""q. zhao"",""y. fan"",""y. s. liao""}"
39687,improving referrals to fracture clinic from the paediatric emergency department an intervention.,_nan_,european journal of cancer,brain behav,0-8077-4913-3,0,0,_nan_,-,"{""o. callender"",""j. craven"",""c. martin""}"
42135,selective loss of anterior pituitary volume with severe pituitary-gonadal insufficiency in poorly compliant male thalassemic patients with pubertal arrest.,eng,annals of the new york academy of sciences,ann. n. y. acad. sci.,0077-8923,850,_nan_,6/30/98,479-82,"{""m katz"",""r chatterjee"",""a oatridge"",""j b porter"",""g m bydder""}"
42247,"gender differences in personal, social and environmental influences on active travel to and from school for australian adolescents.",eng,journal of science and medicine in sport / sports medicine australia,j sci med sport,1878-1861,13,6,11/1/10,597-601,"{""john w toumbourou"",""eva leslie"",""peter kremer"",""joanne w williams""}"
43736,effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,medicine and science in sports and exercise,med sci sports exerc,0195-9131,39,6,6/1/07,991-5,"{""james c martin"",""ian mayhew"",""lee m romer"",""thomas korff""}"
44484,"exercise-induced flow limitation, dynamic hyperinflation and exercise capacity in patients with bronchial asthma.",eng,the european respiratory journal,eur. respir. j.,0903-1936,24,3,9/1/04,378-84,"{""a polychronaki"",""ch roussos"",""a koutsoukou"",""i dimitroulis"",""j milic-emili"",""n g koulouris"",""s retsou"",""e n kosmas"",""m gaga""}"
45797,the exercise prescription: focus on vascular mechanisms.,eng,blood pressure monitoring,blood press monit,1473-5725,2,3,6/1/97,139-145,"{""[collective name] jennings"",""[collective name] kingwell""}"
46028,changes in renal blood flow measured by radionuclide angiography following exhausting exercise in humans.,eng,european journal of applied physiology and occupational physiology,eur j appl physiol occup physiol,0301-5548,74,1,1/1/96,7-jan,"{""s ikawa"",""m sudoh"",""m suzuki"",""s matsubara"",""m shiota"",""k kawakami""}"
48202,"anaesthesia, movement and emesis",_nan_,british journal of anaesthesia,br.j.anaesth.,0007-0912,0,6,1/1/90,728-730-,"{""hawkey c."",""gorbutt n."",""guiblin h."",""kong a."",""beattie a."",""curran j."",""kamath b.""}"
48738,"prebiotics, immune function, infection and inflammation: a review of the evidence",eng,steroids,steroids,1878-5867,101,0,1/1/09,"633-58 st  - prebiotics, immune function, infection and inflammation: a review of the evidence-","{""a. r. lomax"",""p. c. cn  - pubmed da  - mar do  - 10.1017/s0007114508055608 dp  - nlm et  - 2008/09/26 calder""}"
49274,"randomized, double-blind, placebo-controlled trial of the 5-ht1a receptor antagonist azd7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome",eng,cancer,bjog : an international journal of obstetrics and gynaecology,9788480000000,103,0,1/1/08,"2562-9 st  - randomized, double-blind, placebo-controlled trial of the 5-ht1a receptor antagonist azd7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome-","{""j. naesdal"",""m. danilewitz"",""j. adler"",""d. g. da  - oct do  - 10.1111/j.1572-0241.2008.02115.x dp  - nlm et  - 2008/09/09 silberg"",""c. hwang"",""d. a. drossman""}"
49698,"multicenter, randomized, placebo-controlled trial of amitriptyline in children with functional gastrointestinal disorders",eng,journal of experimental psychology: general,johns hopkins med. j.,0096-3445,137,0,1/1/09,"1261-9 st  - multicenter, randomized, placebo-controlled trial of amitriptyline in children with functional gastrointestinal disorders-","{""c. c2  - pmc2827243 c6  - nihms132141 da  - oct do  - 10.1053/j.gastro.2009.06.060 dp  - nlm et  - 2009/07/15 di lorenzo"",""m. saps"",""s. nurko"",""p. hyman"",""n. youssef"",""a. miranda"",""j. cocjin""}"
49847,"[dinggui oil capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective, multi-center, randomized, placebo-controlled, double-blind trial]",chi,j. thromb. haemost.,aust nz j ment health nurs,1538-7933,5,0,1/1/07,"392-7 st  - [dinggui oil capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective, multi-center, randomized, placebo-controlled, double-blind trial]-","{""m. d. jiang"",""z. j. fan"",""t. q. da  - jul dp  - nlm et  - 2007/07/17 li"",""q. xia"",""l. wang"",""z. yu"",""r. m. zhang"",""f. x. zhang"",""x. n. yang"",""h. r. zhang""}"
52633,monteggia lesions in adults. a multicenter bota study,eng,minerva cardioangiologica,minerva cardioangiol,1827-1618,62,0,1/1/96,78-83,"{""w. de groote"",""d. stoffelen"",""k. govaerts"",""p. reynders"",""p. l. broos"",""j. rondia""}"
52681,retrograde nailing of humeral shaft fractures,eng,arch intern med,archives of internal medicine,0007-1250 1472-1465,0,350,1/1/98,26-39,"{""m. runkel"",""j. blum"",""p. m. rommens""}"
53319,intraoperative stability testing of lateral-entry pin fixation of pediatric supracondylar humeral fractures,eng,nepal medical college journal : nmcj,nepal med coll j,1535-7414,27,6,1/1/07,695-702,"{""n. smith"",""b. milne"",""m. zenios"",""m. ramachandran"",""d. little""}"
53321,monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,tumour biology : the journal of the international society for oncodevelopmental biology and medicine,foot & ankle international,0893-133x,35,8,1/1/11,1245-50,"{""t. topp"",""c. kuhne"",""s. ruchholtz"",""u. lewan"",""a. kruger"",""t. muller"",""r. zettl""}"
53877,"journal of health communication : international perspectives the effect of an internet-based , stage- matched message intervention on young taiwanese women ' s physical activity",_nan_,bmj open,respirology,1440-1843,0,0,1/1/14,37-41 do  - 10.1080/10810730902805788,"{""sheu-jen huang"",""maiga chang"",""wen-chi hung"",""janie chang""}"
54163,abstracts 15,_nan_,energy policy,onkologie,0378-584x,36,0,1/1/10,10-14 do  - 10.1016/s0748-7983(10)00156-3,"{""p mroczkowski"",""r kube"",""a dziki"",""b moran"",""h lippert"",""i gastinger""}"
54202,behaviour research and therapy outcome predictors in guided and unguided self-help for social anxiety disorder,_nan_,behaviour research and therapy,neuropsychologia,"0036-8148, 0036-8148",50,1,1/1/12,13-21 do  - 10.1016/j.brat.2011.10.009,"{""o e havik"",""p carlbring"",""l g ��st"",""t nordgreen"",""g andersson"",""t furmark""}"
54613,evaluation of an internet support group for women with primary breast cancer,_nan_,cochrane database syst. rev.,adm policy ment health,0034-9887,0,0,1/1/00,1164-1173 do  - 10.1002/cncr.11174,"{""andrew j winzelberg"",""heidi roberts"",""c barr taylor"",""catherine classen"",""heidemarie ernst"",""cheryl koopman"",""robert e adams"",""georg w alpers"",""parvati dev"",""d ph""}"
55412,cuneus and fusiform cortices thickness is reduced in trigeminal neuralgia.,eng,the journal of headache and pain,j headache pain,1129-2377,15,_nan_,12/1/14,17,"{""thomas martin doring"",""maud parise"",""gustavo tukamoto"",""emerson leandro gasparetto"",""tadeu takao almodovar kubo"",""maurice vincent""}"
55809,diffusion tensor imaging of deep gray matter in children treated for brain malignancies.,eng,child's nervous system : chns : official journal of the international society for pediatric neurosurgery,childs nerv syst,1433-0350,30,4,4/1/14,631-8,"{""anna nidecker"",""siamak ardekani"",""e mark mahone"",""firouzeh tannazi"",""jarunee intrapiromkul"",""moody wharam"",""larry j brant"",""alena horsk��""}"
56014,differences of inter-tract correlations between neonates and children around puberty: a study based on microstructural measurements with dti.,eng,frontiers in human neuroscience,front hum neurosci,1662-5161,7,_nan_,1/1/13,721,"{""gaolang gong"",""hua cheng"",""yong he"",""qi dong"",""hao huang"",""virendra mishra""}"
56272,impaired default network functional connectivity in autosomal dominant alzheimer disease.,eng,neurology,neurology,1526-632x,81,8,8/20/13,736-44,"{""virginia d buckles"",""andrew j saykin"",""eric mcdade"",""stephen p salloway"",""aaron p schultz"",""peter r schofield"",""randall bateman"",""adam m brickman"",""nick c fox"",""john c morris"",""john m ringman"",""christopher c rowe"",""paul thompson"",""clifford jack"",""beau m ances"",""allison m goate"",""robert a koeppe"",""stephen correia"",""jasmeer p chhatwal"",""caroline a sullivan"",""anne m fagan"",""richard mayeux"",""daniel s marcus"",""tammie l s benzinger"",""keith johnson"",""reisa a sperling"",""chengjie xiong""}"
56464,serum s100b represents a new biomarker for mood disorders.,eng,current drug targets,curr drug targets,1873-5592,14,11,10/1/13,1237-48,"{""peter schoenknecht"",""matthias l schroeter"",""johann steiner"",""karsten mueller"",""julia sacher""}"
57286,differential functional connectivity within an emotion regulation neural network among individuals resilient and susceptible to the depressogenic effects of early life stress.,eng,psychological medicine,psychol med,1469-8978,43,3,3/1/13,507-18,"{""j m cisler"",""t mletzko"",""c d kilts"",""s tripathi"",""g a james"",""x p hu"",""c heim"",""c b nemeroff"",""h s mayberg""}"
57483,multiple dural arteriovenous fistulas presenting as rapidly progressive dementia.,eng,the neurologist,neurologist,1074-7931,18,3,5/1/12,130-2,"{""diana duro"",""augusto gouḷo"",""gon̤alo santos"",""nuno mendon̤a"",""isabel santana"",""eg�_dio machado""}"
59308,white matter diffusivity predicts memory in patients with subjective and mild cognitive impairment and normal csf total tau levels.,eng,journal of the international neuropsychological society : jins,j int neuropsychol soc,1469-7661,16,1,1/1/10,58-69,"{""ramune grambaite"",""anders m fjell"",""tormod fladby"",""kristine b walhovd"",""vidar stenset"",""ivar reinvang""}"
60309,the pathogenesis of normal pressure hydrocephalus: a theoretical analysis.,eng,bulletin of mathematical biology,bull. math. biol.,0092-8240,61,5,9/1/99,875-916,"{""d n levine""}"
62246,pulpal response to a fluoride-releasing all-in-one resin bonding system.,eng,operative dentistry,oper dent,0361-7734,27,3,5/1/02,271-7,"{""masayuki otsuki"",""makoto arakawa"",""hidekazu sonoda"",""yasutaka sasafuchi"",""yuichi kitasako"",""junji tagami""}"
62306,mandibular second molar with c-shaped canal morphology and five canals: report of a case.,eng,general dentistry,gen dent,0363-6771,52,3,5/1/04,253-4,"{""fred w benenati""}"
63738,[the use of ethonium paste in the treatment of deep dental caries].,rus,stomatologii��a,stomatologiia (mosk),0039-1735,50,2,3/1/71,79-80,"{""p k shestakov""}"
63977,[clinical and histologic results of treatment of serous pulp inflammations with ledermix].,pol,czasopismo stomatologiczne,czas stomatol,nov-53,20,11,1/1/67,1145-53,"{""h zakrzewska-jastrzebska""}"
64430,the nadph oxidase-mediated production of hydrogen peroxide (h(2)o(2)) and resistance to oxidative stress in the necrotrophic pathogen alternaria alternata of citrus.,eng,molecular plant pathology,mol. plant pathol.,1364-3703,13,8,10/1/12,900-14,"{""siwy ling yang"",""kuang-ren chung""}"
65723,"outcome of er,cr:ysgg laser-assisted treatment of teeth with apical periodontitis: a blind randomized clinical trial.",eng,photomedicine and laser surgery,photomed laser surg,1557-8550,32,1,1/1/14,9-mar,"{""norbert gutknecht"",""manuel f carvalho"",""irene pina-vaz"",""miguel r martins"",""jose a capelas"",""miguel a martins""}"
66579,"astaxanthin inhibits jak/stat-3 signaling to abrogate cell proliferation, invasion and angiogenesis in a hamster model of oral cancer.",eng,plos one,plos one,1932-6203,9,10,1/1/14,e109114,"{""abdul basit baba"",""j kowshik"",""g deepak reddy"",""hemant giri"",""madhulika dixit"",""siddavaram nagini""}"
67292,epithelial splicing regulatory proteins 1 (esrp1) and 2 (esrp2) suppress cancer cell motility via different mechanisms.,eng,the journal of biological chemistry,j. biol. chem.,1083-351x,289,40,10/3/14,27386-99,"{""mitsuyoshi motizuki"",""keiji miyazawa"",""tetsuo kondo"",""keisuke masuyama"",""masao saitoh"",""hiroki ishii"",""ryohei katoh"",""kei sakamoto"",""shota tanaka""}"
68354,"cyclin d1 gene expression in oral mucosa of tobacco chewers""-an immunohistochemical study.",eng,journal of clinical and diagnostic research,j.clin.diagn.res.,2249-782x,8,5,5/1/14,zc70-5,"{""maharudrappa basnaker"",""satish bnvs"",""srikala sp""}"
71263,intra-mandibular adenoid cystic carcinoma.,eng,"revue de stomatologie, de chirurgie maxillo-faciale et de chirurgie orale",rev stomatol chir maxillofac chir orale,2213-6541,115,2,4/1/14,100-4,"{""n zwetyenga"",""a bouaichi"",""s aimad-eddine"",""b ella"",""x-a mommers""}"
71351,differential dendritic cell-mediated activation and functions of invariant nkt-cell subsets in oral cancer.,eng,oral diseases,oral dis,1601-0825,_nan_,_nan_,3/22/14,_nan_,"{""nk shukla"",""sn das"",""p gaur"",""ak singh""}"
72089,"clinical pharmacokinetics of icotinib, an anti-cancer drug: evaluation of dose proportionality, food effect, and tolerability in healthy subjects.",eng,cancer chemotherapy and pharmacology,cancer chemother. pharmacol.,1432-0843,73,4,4/1/14,721-7,"{""fenlai tan"",""ji jiang"",""don zhang"",""dongyang liu"",""yingxiang wang"",""li zhang"",""pei hu""}"
72325,comparison between oral antibiotics and probiotics as bowel preparation for elective colon cancer surgery to prevent infection: prospective randomized trial.,eng,surgery,surgery,1532-7361,155,3,3/1/14,493-503,"{""yasuhiro koga"",""kazutake okada"",""toru ozaki"",""sotaro sadahiro"",""akira tanaka"",""toshiyuki suzuki"",""hiroko kamata""}"
73289,polymorphisms of the xpc gene may contribute to the risk of head and neck cancer: a meta-analysis.,eng,tumour biology : the journal of the international society for oncodevelopmental biology and medicine,tumour biol.,1423-0380,35,4,4/1/14,3917-31,"{""xuejun chen"",""yang zhang"",""zufei li"",""qi zhong"",""weiguo zhou"",""xiaohong chen"",""zhigang huang"",""jugao fang""}"
73792,evaluation of the protective effect of ilex paraguariensis and camellia sinensis extracts on the prevention of oxidative damage caused by ultraviolet radiation.,eng,environmental toxicology and pharmacology,environ. toxicol. pharmacol.,1872-7077,37,1,1/1/14,195-201,"{""marlon barg"",""emilio l streck"",""lara m gomes"",""vanessa m andrade"",""daniela d leffa"",""felipe dal-pizzol"",""fabricia petronilho"",""francieli vuolo"",""milena carvalho-silva"",""fernanda balbinot"",""gislaine t rezin""}"
74821,progesterone receptor progins and +331g/a polymorphisms confer susceptibility to ovarian cancer: a meta-analysis based on 17 studies.,eng,tumour biology : the journal of the international society for oncodevelopmental biology and medicine,tumour biol.,1423-0380,35,3,3/1/14,2427-36,"{""xinran wang"",""chenhuan ding"",""lilan chen"",""shu li"",""ting liu"",""xia yin"",""you wang"",""xiangjun sun"",""wen di"",""he li""}"
77389,symptoms tell it all: a systematic review of the value of symptom assessment to predict survival in advanced cancer patients.,eng,critical reviews in oncology/hematology,crit. rev. oncol. hematol.,1879-0461,84,1,10/1/12,130-48,"{""emile e voest"",""saskia c c m teunissen"",""alexander de graeff"",""marija trajkovic-vidakovic""}"
80799,one-pot semisynthesis of exon 1 of the huntingtin protein: new tools for elucidating the role of posttranslational modifications in the pathogenesis of huntington's disease.,eng,angewandte chemie (international ed. in english),angew. chem. int. ed. engl.,1521-3773,53,7,2/10/14,1928-33,"{""annalisa ansaloni"",""jae sun jeong"",""francesco simone ruggeri"",""giovanni dietler"",""zhe-ming wang"",""hilal a lashuel""}"
81959,disruption of the gastroesophageal junction by central obesity and waist belt: role of raised intra-abdominal pressure.,eng,diseases of the esophagus : official journal of the international society for diseases of the esophagus / i.s.d.e,dis. esophagus,1442-2050,_nan_,_nan_,2/28/14,_nan_,"{""y y lee"",""k e l mccoll""}"
82486,robotic surgery in gynecology.,eng,archives of gynecology and obstetrics,arch. gynecol. obstet.,1432-0711,289,1,1/1/14,6-may,"{""axel schindelhauer"",""pauline wimberger""}"
82540,"body mass index and socioeconomic status measured in adolescence, country of origin, and the incidence of gastroesophageal adenocarcinoma in a cohort of 1 million men.",eng,cancer,cancer,1097-0142,119,23,12/1/13,4086-93,"{""estela derazne"",""jeremy d kark"",""yaron niv"",""lital keinan-boker"",""ari shamiss"",""irena liphshitz"",""arnon afek"",""dorit tzur"",""moshe furman"",""zohar levi""}"
82614,"lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.",eng,"cancer prevention research (philadelphia, pa.)",cancer prev res (phila),1940-6215,6,12,12/1/13,1304-16,"{""lynne m ausman"",""martin s obin"",""xiang-dong wang"",""chun liu"",""blanche c ip"",""donald e smith"",""kang-quan hu""}"
